Product code,Station Number,Year,MONTHS,RAINFALL(MM)
IDCJAC0001,23034,2015,April,50
IDCJAC0001,23034,2016,April,8
IDCJAC0001,23034,2017,April,24.8
IDCJAC0001,23034,2018,April,14.6
IDCJAC0001,23034,2019,April,4.2
IDCJAC0001,23034,2020,April,88.2
IDCJAC0001,23034,1981,May,46.8
IDCJAC0001,23034,1982,May,38.6
IDCJAC0001,23034,1983,May,45.4
IDCJAC0001,23034,1984,May,39.6
IDCJAC0001,23034,1985,May,58.4
IDCJAC0001,23034,1986,May,44.2
IDCJAC0001,23034,1987,May,110
IDCJAC0001,23034,1988,May,68.4
IDCJAC0001,23034,1989,May,87.2
IDCJAC0001,23034,1990,May,8.8
IDCJAC0001,23034,1991,May,13
IDCJAC0001,23034,1992,May,67.6
IDCJAC0001,23034,1993,May,40.2
IDCJAC0001,23034,1994,May,32.8
IDCJAC0001,23034,1995,May,61.2
IDCJAC0001,23034,1996,May,11.4
IDCJAC0001,23034,1997,May,55
IDCJAC0001,23034,1998,May,26.2
IDCJAC0001,23034,1999,May,61
IDCJAC0001,23034,2000,May,54.8
IDCJAC0001,23034,2001,May,78
IDCJAC0001,23034,2002,May,65
IDCJAC0001,23034,2003,May,66.4
IDCJAC0001,23034,2004,May,43
IDCJAC0001,23034,2005,May,5.2
IDCJAC0001,23034,2006,May,30
IDCJAC0001,23034,2007,May,35.4
IDCJAC0001,23034,2008,May,43.4
IDCJAC0001,23034,2009,May,51.6
IDCJAC0001,23034,2010,May,60.2
IDCJAC0001,23034,2011,May,36.8
IDCJAC0001,23034,2012,May,53.4
IDCJAC0001,23034,2013,May,60
IDCJAC0001,23034,2014,May,62.4
IDCJAC0001,23034,2015,May,52.6
IDCJAC0001,23034,2016,May,64.2
IDCJAC0001,23034,2017,May,27.8
IDCJAC0001,23034,2018,May,29.4
IDCJAC0001,23034,2019,May,75
IDCJAC0001,23034,2020,May,40.8
IDCJAC0001,23034,1981,June,137.8
IDCJAC0001,23034,1982,June,41.6
IDCJAC0001,23034,1983,June,26.8
IDCJAC0001,23034,1984,June,31
IDCJAC0001,23034,1985,June,37
IDCJAC0001,23034,1986,June,35.2
IDCJAC0001,23034,1987,June,68.6
IDCJAC0001,23034,1988,June,81.6
IDCJAC0001,23034,1989,June,65
IDCJAC0001,23034,1990,June,69.8
IDCJAC0001,23034,1991,June,95.6
IDCJAC0001,23034,1992,June,57.2
IDCJAC0001,23034,1993,June,35.2
IDCJAC0001,23034,1994,June,73.2
IDCJAC0001,23034,1995,June,47
IDCJAC0001,23034,1996,June,91.8
IDCJAC0001,23034,1997,June,30.2
IDCJAC0001,23034,1998,June,74.4
IDCJAC0001,23034,1999,June,70
IDCJAC0001,23034,2000,June,74.8
IDCJAC0001,23034,2001,June,80.6
IDCJAC0001,23034,2002,June,45
IDCJAC0001,23034,2003,June,100.8
IDCJAC0001,23034,2004,June,83.3
IDCJAC0001,23034,2005,June,94.2
IDCJAC0001,23034,2006,June,11.6
IDCJAC0001,23034,2007,June,42
IDCJAC0001,23034,2008,June,24.4
IDCJAC0001,23034,2009,June,39
IDCJAC0001,23034,2010,June,61
IDCJAC0001,23034,2011,June,31.2
IDCJAC0001,23034,2012,June,114.6
IDCJAC0001,23034,2013,June,77.8
IDCJAC0001,23034,2014,June,69.6
IDCJAC0001,23034,2015,June,18.6
IDCJAC0001,23034,2016,June,72
IDCJAC0001,23034,2017,June,10.6
IDCJAC0001,23034,2018,June,33.8
IDCJAC0001,23034,2019,June,83.4
IDCJAC0001,23034,2020,June,48
IDCJAC0001,23034,1981,July,95.8
IDCJAC0001,23034,1982,July,18.2
IDCJAC0001,23034,1983,July,89.4
IDCJAC0001,23034,1984,July,67.2
IDCJAC0001,23034,1985,July,34.4
IDCJAC0001,23034,1986,July,116.4
IDCJAC0001,23034,1987,July,112.2
IDCJAC0001,23034,1988,July,55.6
IDCJAC0001,23034,1989,July,69.8
IDCJAC0001,23034,1990,July,89.8
IDCJAC0001,23034,1991,July,68.2
IDCJAC0001,23034,1992,July,42.8
IDCJAC0001,23034,1993,July,54.2
IDCJAC0001,23034,1994,July,42.6
IDCJAC0001,23034,1995,July,103.2
IDCJAC0001,23034,1996,July,82.6
IDCJAC0001,23034,1997,July,18.4
IDCJAC0001,23034,1998,July,44.8
IDCJAC0001,23034,1999,July,51.2
IDCJAC0001,23034,2000,July,45.8
IDCJAC0001,23034,2001,July,39.4
IDCJAC0001,23034,2002,July,70.6
IDCJAC0001,23034,2003,July,27.8
IDCJAC0001,23034,2004,July,52.6
IDCJAC0001,23034,2005,July,31.2
IDCJAC0001,23034,2006,July,24
IDCJAC0001,23034,2007,July,47.2
IDCJAC0001,23034,2008,July,39
IDCJAC0001,23034,2009,July,67.8
IDCJAC0001,23034,2010,July,46.8
IDCJAC0001,23034,2011,July,55
IDCJAC0001,23034,2012,July,30.8
IDCJAC0001,23034,2013,July,96.6
IDCJAC0001,23034,2014,July,72.8
IDCJAC0001,23034,2015,July,42.2
IDCJAC0001,23034,2016,July,95.4
IDCJAC0001,23034,2017,July,75.2
IDCJAC0001,23034,2018,July,43.6
IDCJAC0001,23034,2019,July,36.6
IDCJAC0001,23034,2020,July,15.2
IDCJAC0001,23034,1981,August,82
IDCJAC0001,23034,1982,August,17.2
IDCJAC0001,23034,1983,August,77.6
IDCJAC0001,23034,1984,August,79.8
IDCJAC0001,23034,1985,August,62.8
IDCJAC0001,23034,1986,August,85.2
IDCJAC0001,23034,1987,August,23.2
IDCJAC0001,23034,1988,August,33
IDCJAC0001,23034,1989,August,49
IDCJAC0001,23034,1990,August,66.4
IDCJAC0001,23034,1991,August,59.4
IDCJAC0001,23034,1992,August,103.8
IDCJAC0001,23034,1993,August,43.8
IDCJAC0001,23034,1994,August,14.6
IDCJAC0001,23034,1995,August,26.6
IDCJAC0001,23034,1996,August,87.2
IDCJAC0001,23034,1997,August,79
IDCJAC0001,23034,1998,August,44.6
IDCJAC0001,23034,1999,August,20.4
IDCJAC0001,23034,2000,August,50.6
IDCJAC0001,23034,2001,August,63.8
IDCJAC0001,23034,2002,August,21.4
IDCJAC0001,23034,2003,August,55.2
IDCJAC0001,23034,2004,August,67.2
IDCJAC0001,23034,2005,August,60
IDCJAC0001,23034,2006,August,8.6
IDCJAC0001,23034,2007,August,16.8
IDCJAC0001,23034,2008,August,71.2
IDCJAC0001,23034,2009,August,33.2
IDCJAC0001,23034,2010,August,77.2
IDCJAC0001,23034,2011,August,60.2
IDCJAC0001,23034,2012,August,52.6
IDCJAC0001,23034,2013,August,64
IDCJAC0001,23034,2014,August,null
IDCJAC0001,23034,2015,August,36.4
IDCJAC0001,23034,2016,August,49
IDCJAC0001,23034,2017,August,82.2
IDCJAC0001,23034,2018,August,71.2
IDCJAC0001,23034,2019,August,33.8
IDCJAC0001,23034,2020,August,34
IDCJAC0001,23034,1981,September,29
IDCJAC0001,23034,1982,September,20
IDCJAC0001,23034,1983,September,61.2
IDCJAC0001,23034,1984,September,46.4
IDCJAC0001,23034,1985,September,37.4
IDCJAC0001,23034,1986,September,51.2
IDCJAC0001,23034,1987,September,15
IDCJAC0001,23034,1988,September,46
IDCJAC0001,23034,1989,September,36.2
IDCJAC0001,23034,1990,September,38.4
IDCJAC0001,23034,1991,September,69
IDCJAC0001,23034,1992,September,113.6
IDCJAC0001,23034,1993,September,60.4
IDCJAC0001,23034,1994,September,21.4
IDCJAC0001,23034,1995,September,36.4
IDCJAC0001,23034,1996,September,65.8
IDCJAC0001,23034,1997,September,72.6
IDCJAC0001,23034,1998,September,49.4
IDCJAC0001,23034,1999,September,57.4
IDCJAC0001,23034,2000,September,59
IDCJAC0001,23034,2001,September,96.6
IDCJAC0001,23034,2002,September,29.6
IDCJAC0001,23034,2003,September,30.2
IDCJAC0001,23034,2004,September,46.8
IDCJAC0001,23034,2005,September,63.2
IDCJAC0001,23034,2006,September,26
IDCJAC0001,23034,2007,September,20.6
IDCJAC0001,23034,2008,September,12.2
IDCJAC0001,23034,2009,September,51.4
IDCJAC0001,23034,2010,September,57.8
IDCJAC0001,23034,2011,September,40.2
IDCJAC0001,23034,2012,September,18.2
IDCJAC0001,23034,2013,September,37.2
IDCJAC0001,23034,2014,September,21.8
IDCJAC0001,23034,2015,September,15.6
IDCJAC0001,23034,2016,September,102.2
IDCJAC0001,23034,2017,September,48.4
IDCJAC0001,23034,2018,September,20.8
IDCJAC0001,23034,2019,September,37.4
IDCJAC0001,23034,2020,September,42.2
IDCJAC0001,23034,1981,October,33.6
IDCJAC0001,23034,1982,October,10
IDCJAC0001,23034,1983,October,48.8
IDCJAC0001,23034,1984,October,22
IDCJAC0001,23034,1985,October,37.8
IDCJAC0001,23034,1986,October,50.8
IDCJAC0001,23034,1987,October,42
