Product code,Station Number,Year,MONTHS,RAINFALL(mm)
IDCJAC0001,23090,2015,April,57.6
IDCJAC0001,23090,2016,April,9.6
IDCJAC0001,23090,2017,April,33.2
IDCJAC0001,23090,2018,April,22.2
IDCJAC0001,23090,2019,April,5.4
IDCJAC0001,23090,2020,April,94.2
IDCJAC0001,23090,1981,May,59.8
IDCJAC0001,23090,1982,May,51
IDCJAC0001,23090,1983,May,70.6
IDCJAC0001,23090,1984,May,51.6
IDCJAC0001,23090,1985,May,88.4
IDCJAC0001,23090,1986,May,44.8
IDCJAC0001,23090,1987,May,128
IDCJAC0001,23090,1988,May,117.8
IDCJAC0001,23090,1989,May,90.6
IDCJAC0001,23090,1990,May,15.4
IDCJAC0001,23090,1991,May,14
IDCJAC0001,23090,1992,May,77.8
IDCJAC0001,23090,1993,May,41.8
IDCJAC0001,23090,1994,May,30.6
IDCJAC0001,23090,1995,May,56.6
IDCJAC0001,23090,1996,May,15.2
IDCJAC0001,23090,1997,May,65.6
IDCJAC0001,23090,1998,May,29.4
IDCJAC0001,23090,1999,May,127.4
IDCJAC0001,23090,2000,May,89.2
IDCJAC0001,23090,2001,May,87.4
IDCJAC0001,23090,2002,May,62.8
IDCJAC0001,23090,2003,May,69.6
IDCJAC0001,23090,2004,May,62.8
IDCJAC0001,23090,2005,May,8.2
IDCJAC0001,23090,2006,May,48.8
IDCJAC0001,23090,2007,May,45
IDCJAC0001,23090,2008,May,63.4
IDCJAC0001,23090,2009,May,63
IDCJAC0001,23090,2010,May,56.8
IDCJAC0001,23090,2011,May,61.8
IDCJAC0001,23090,2012,May,62.4
IDCJAC0001,23090,2013,May,54.8
IDCJAC0001,23090,2014,May,64.4
IDCJAC0001,23090,2015,May,71.8
IDCJAC0001,23090,2016,May,88
IDCJAC0001,23090,2017,May,51.2
IDCJAC0001,23090,2018,May,67.8
IDCJAC0001,23090,2019,May,87.4
IDCJAC0001,23090,2020,May,53.4
IDCJAC0001,23090,1981,June,174.6
IDCJAC0001,23090,1982,June,54.8
IDCJAC0001,23090,1983,June,47.8
IDCJAC0001,23090,1984,June,31.2
IDCJAC0001,23090,1985,June,60.4
IDCJAC0001,23090,1986,June,37.4
IDCJAC0001,23090,1987,June,100.2
IDCJAC0001,23090,1988,June,97.4
IDCJAC0001,23090,1989,June,100.8
IDCJAC0001,23090,1990,June,89.4
IDCJAC0001,23090,1991,June,138.2
IDCJAC0001,23090,1992,June,76.8
IDCJAC0001,23090,1993,June,51.4
IDCJAC0001,23090,1994,June,87.6
IDCJAC0001,23090,1995,June,69.6
IDCJAC0001,23090,1996,June,119.8
IDCJAC0001,23090,1997,June,33
IDCJAC0001,23090,1998,June,83.2
IDCJAC0001,23090,1999,June,82.2
IDCJAC0001,23090,2000,June,80.8
